table,yellow,type,angaza,upya,update_on
all,external_sys,TEXT,external_sys,test123,
accounts,organization,TEXT,organization,,
accounts,unit_number,INT,account_number,,
accounts,account_id,INT,,,
accounts,account_external_id,TEXT,angaza_id,,1
accounts,previous_unit_number,INT,previous_account_number,,
accounts,date_of_replacement_utc,TIMESTAMPTZ,,,
accounts,date_of_repossession_utc,TIMESTAMPTZ,date_of_repossession_utc,,
accounts,pricing_group,TEXT,group_name,,
accounts,country,TEXT,country,,
accounts,registration_location,GEOGRAPHY,registration_location_latitudelongitude,,
accounts,account_status,TEXT,account_status,,
accounts,registration_date_utc,TIMESTAMPTZ,registration_date_utc,,
accounts,registering_user,TEXT,registering_user,,
accounts,registering_user_id,INT,,,
accounts,registering_user_external_id,TEXT,registering_user_angaza_id,,
accounts,upfront_price,DECIMAL,upfront_price,,
accounts,upfront_days_included,DECIMAL,upfront_days_included,,
accounts,unlock_price,DECIMAL,unlock_price,,
accounts,minimum_payment_amount,DECIMAL,minimum_payment_amount,,
accounts,expected_paid,DECIMAL,expected_paid,,
accounts,total_paid,DECIMAL,total_paid,,
accounts,outstanding_amount,DECIMAL,,,
accounts,hour_price,DECIMAL,hour_price,,
accounts,date_of_latest_payment_utc,TIMESTAMPTZ,date_of_latest_payment_utc,,
accounts,date_of_disablement_utc,TIMESTAMPTZ,date_of_disablement_utc,,
accounts,responsible_user_id,INT,,,
accounts,responsible_user_external_id,TEXT,responsible_user_angaza_id,,
accounts,responsible_user,TEXT,responsible_user,,
accounts,responsible_user_since_utc,TIMESTAMPTZ,responsible_user_since,,
accounts,number_of_payments,INT,number_of_payments,,
accounts,product,TEXT,product_name,,
accounts,cumulative_bonus_days,DECIMAL,,,
accounts,cumulative_activation_days,DECIMAL,,,
accounts,cumulative_days_disabled,DECIMAL,cumulative_days_disabled,,
accounts,amount_in_arrears,DECIMAL,amount_in_arrears,,
accounts,days_to_cutoff,DECIMAL,days_to_cutoff,,
accounts,client_id,INT,,,
accounts,client_external_id,TEXT,client_angaza_id,,
accounts,owner_phone_number,BIGINT,owner_msisdn,,
accounts,owner_name,TEXT,owner_name,,
accounts,client_location,GEOGRAPHY,,,
accounts,next_of_kin_contact_number,TEXT,next_of_kin_contact_number,,
accounts,neighbour_or_nearby_resident_contact_number,BIGINT,neighbour_or_nearby_resident_contact_number,,
accounts,date_of_write_off_utc,TIMESTAMPTZ,date_of_write-off,,
accounts,date_of_application_utc,TIMESTAMPTZ,,,
accounts,date_of_approval_utc,TIMESTAMPTZ,,,
